id_text,lemma,designation,ancient_author,ancient_recipient,archive,cdli_id,sender_loc,volume,regnal_dates,ruler,cdli_id.1,genre,provenience,pleiades_coord,pleiades_id
P224395,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Adda-hati[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N māru[son]N Amiru[1]PN ina[in]PRP libbu[interior]N _ meʾatu[(one)-hundred]NU anāqutu[she-camel]N zakû[be(come)-clear]V mā[saying]PRP ina[in]PRP muhhu[skull]N hubtu[robbery]N ša[that]REL ištu[from]PRP Dimašqa[Damascus]GN ana[to]PRP mātu[land]N Aššur[1]DN etēqu[proceed]V mā[saying]PRP ina[in]PRP muhhu[skull]N maqātu[fall]V šemû[hear]V ina[in]PRP muhhu[skull]N Bel-iqbi[1]PN šapāru[send]V alāku[go]V issahîš[together]AV ina[in]PRP irtu[breast]N hubtu[robbery]N alāku[go]V amāru[see]V ina[in]PRP šubtu[dwelling]N ina[in]PRP kutallu[back]N ašābu[sit-(down)]V mahāṣu[beat]V _ _ immeru[sheep]N hubtu[robbery]N ištu[from]PRP Huzaza[1]GN _ immeru[sheep]N _ _ _ _ _ _ _ _ _ _ _ _ _ ṣābu[people]N _ _ _ _ ṣābu[people]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ anīnu[we]IP sahāru[go-around]V ina[in]PRP dāt[behind]PRP radāpu[pursue]V _ _ Illabani[1]GN _ qerēbu[approach]V lā[not]MOD kašādu[reach]V marṣu[sick]AJ lā[not]MOD ana[to]PRP sisû[horse]N lā[not]MOD ana[to]PRP mugerru[chariot]N _ _ _ _ ina[in]PRP _ _ _ _,SAA 01 175,Adda-hati,the king,"006 - Northwest Palace, Room ZT 4",P224395,Hamath,SAA 1,721–705 BC,Sargon II,P224395,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224403,awātu[word]N šarru[king]N ana[to]PRP šaknu[appointee]N _ meʾatu[(one)-hundred]NU maqarratu[bale-(of-straw)]N ša[of]DET tibnu[straw]N _ meʾatu[(one)-hundred]NU ebissu[(roped-up)-bundle]N ša[of]DET appāru[reed-bed]N ša[of]DET ištēn[one]NU ebissu[(roped-up)-bundle]N imēru[donkey]N lā[not]MOD emūqu[strength]N lā[not]MOD matāhu[lift]V ūmu[day]N _ ša[of]DET Kislimu[Kislev]MN ina[in]PRP Dur-Šarruken[1]GN lū[may]MOD qurbu[near]AJ ištēn[one]NU ūmu[day]N etēqu[proceed]V mâtu[die]V,SAA 01 026,the king,Governor of Kalhu,"006 - Northwest Palace, Room ZT 4",P224403,Royal Court,SAA 1,721–705 BC,Sargon II,P224403,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224417,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Adda-hati[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ṣarpu[silver]N ša[of]DET šaknu[appointee]N ša[of]DET rabû[big-one]N ālu[city]N ša[that]REL ina[in]PRP muhhu[skull]N nišu[people]N mātu[land]N sadāru[place-in-order]V _ biltu[load]N _ manû[unit]N ṣarpu[silver]N ina[in]PRP manû[unit]N ša[of]DET Gargamis[Carchemish]GN _ šiqlu[unit]N hurāṣu[gold]N _ saddinu[(a-tunic)]N _ kitû[flax]N ištēniš[together]AV ina[in]PRP qātu[hand]N māru[son]N šipru[sending]N ina[in]PRP muhhu[skull]N šarru[king]N bēlu[lord]N wabālu[bring]V _ _ _ _ tadānu[give]V _ _ līm[thousand]NU _ meʾatu[(one)-hundred]NU _ ṣābu[people]N tadānu[give]V ūma[today]AV Dannaya[1]PN _ līm[thousand]NU _ meʾatu[(one)-hundred]NU _ tadānu[give]V _ meʾatu[(one)-hundred]NU ṣābu[people]N maṭû[be(come)-little]V ša[that]REL dīku[killed]AJ _ ana[to]PRP _ _ _ šalmu[intact]AJ atru[excess]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ šumma[if]MOD mahru[received]AJ _ meʾatu[(one)-hundred]NU ṣābu[people]N ištu[from]PRP Argite[1]GN _ _ Ṣupat[1]GN wabālu[bring]V _ _ _ _ ina[in]PRP pānātu[front]N _ _ _ zēru[seed(s)]N ša[of]DET _ _ _ eṣēdu[harvest]V _ līm[thousand]NU zēru[seed(s)]N ša[of]DET Labaʾu[1]GN atru[excess]N ina[in]PRP muhhu[skull]N eṣēdu[harvest]V ūma[today]AV šarru[king]N bēlu[lord]N nišu[people]N Aššuraya[Assyrian]EN Ituʾaya[Ituʾean]EN tadānu[give]V ina[in]PRP madbaru[steppe]N ṣabātu[seize]V lā[not]MOD ša-muhhi-āli[town-overseer]N lā[not]MOD atû[gatekeeper]N Aššuraya[Assyrian]EN ina[in]PRP Ṣupat[1]GN ša[that]REL šarru[king]N bēlu[lord]N qabû[say]V mā[saying]PRP ištu[from]PRP muhhu[skull]N tīlu[(ruin)-mound]N arādu[go-down]V ina[in]PRP _ _ raṣāpu[build]V arādu[go-down]V _ ālu[city]N bītu[house]N dūru[(city)-wall]N ina[in]PRP madbaru[steppe]N annû[this]DP arādu[go-down]V mīnu[what?]QP ša[that]REL šarru[king]N qabû[say]V kayyamānu[permanent]AJ girûtu[hostility]N ina[in]PRP muhhu[skull]N maṣṣartu[observation]N _ lā[not]MOD šâṭu[despise]V,SAA 01 176,Adda-hati,the king,"006 - Northwest Palace, Room ZT 4",P224417,Hamath,SAA 1,721–705 BC,Sargon II,P224417,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224431,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Bel-duri[1]PN šarru[king]N bēlu[lord]N ṭēmu[(fore)thought]N šakānu[put]V mā[saying]PRP pīhātu[responsibility]N gabbu[totality]N kusāpu[bread]N kissatu[fodder]N ištu[from]PRP ālu[city]N madbaru[steppe]N išti[with]PRP matāhu[lift]V mā[saying]PRP Adad-isseʾa[1]PN Bel-lešir[1]PN ana[to]PRP Abu-lešir[1]PN akālu[eat]V lā[not]MOD magāru[consent]V lā[not]MOD šemû[hear]V atā[why?]QP innû[ours]PP mā[saying]PRP ālu[city]N ina[in]PRP madbaru[steppe]N ša[of]DET pīhātu[responsibility]N gabbu[totality]N ālu[city]N ina[in]PRP libbu[interior]N ahāmiš[one-another]AV pannugu[meaning-unknown]AJ šarru[king]N bēlu[lord]N šapāru[send]V ālu[city]N ša[of]DET madbaru[steppe]N šaṭāru[write]V ištu[from]PRP bītu[house]N aṣappu[pack-animal]N šarru[king]N bēlu[lord]N ištu[from]PRP Hamat[Hamath]GN nasāhu[tear-out]V anāku[I]IP anāku[I]IP šū[he]IP šunu[they]IP šunu[they]IP ina[in]PRP šiāru[morning]N šarru[king]N bēlu[lord]N dâku[kill]V mā[saying]PRP lā[not]MOD ēpišu[doer]N attunu[you-(pl.)]IP annû[this]DP kusāpu[bread]N kissatu[fodder]N ša[of]DET _ arhu[month]N ūmu[day]N _ imēru[unit]N kissatu[fodder]N _ meʾatu[(one)-hundred]NU _ imēru[unit]N kusāpu[bread]N gimru[totality]N _ meʾatu[(one)-hundred]NU _ imēru[unit]N Šamaš-ahu-iddina[1]PN _ imēru[unit]N kissatu[fodder]N _ imēru[unit]N kusāpu[bread]N gimru[totality]N _ imēru[unit]N Abu-lešir[1]PN _ meʾatu[(one)-hundred]NU ša[of]DET _ līm[thousand]NU zakkû[(official)-freed]N ša[of]DET Kummuhaya[from-Commagene]EN gimru[totality]N _ meʾatu[(one)-hundred]NU _ imēru[unit]N ša[of]DET _ arhu[month]N bītu[house]N annû[this]DP šarru[king]N bēlu[lord]N wadû[know]V ina[in]PRP libbu[interior]N mardītu[stage]N _ mardītu[stage]N anīnu[we]IP matāhu[lift]V šunu[they]IP šunāʾa[two-each]NU matāhu[lift]V ūma[today]AV šarru[king]N bēlu[lord]N lū[may]MOD wadû[know]V šunu[they]IP nabalkutu[cross-over]V anīnu[we]IP _ _ _ _ _,SAA 01 172,Bel-duri,the king,"006 - Northwest Palace, Room ZT 4",P224431,Damascus,SAA 1,721–705 BC,Sargon II,P224431,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224433,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Sin-ahhe-eriba[Sennacherib]RN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N šulmu[completeness]N ana[to]PRP Mat-Aššur[Assyria]GN šulmu[completeness]N ana[to]PRP ēkurru[temple]N šulmu[completeness]N ana[to]PRP birtu[fort]N ša[of]DET šarru[king]N gabbu[totality]N libbu[interior]N ša[of]DET šarru[king]N bēlu[lord]N adanniš[very-much]AV lū[may]MOD ṭābu[good]AJ _ _ _ _ _ _ Ituʾaya[Ituʾean]EN _ _ _ _ _ ša[that]REL ištu[from]PRP libbu[interior]N Ištahup[1]GN _ _ _ _ _ ūma[today]AV ištu[from]PRP libbu[interior]N _ _ _ _ ina[in]PRP muhhu[skull]N našû[lifted]AJ ina[in]PRP muhhu[skull]N Urarṭaya[Urarṭian]EN šâlu[ask]V mā[saying]PRP Urarṭaya[Urarṭian]EN rabiu[big-one]N ana[to]PRP Gimir[Cimmeria]GN bīt[where]SBJ alāku[go]V mā[saying]PRP _ _ ištu[from]PRP pānu[front]N šarru[king]N bēlu[lord]N palhu[fearful]AJ adanniš[very-much]AV mā[saying]PRP akī[as]PRP sinništu[woman]N râbu[quake]V qâlu[pay-attention]V mā[saying]PRP ina[in]PRP birtu[fort]N ša[of]DET šarru[king]N bēlu[lord]N memēni[somebody]XP lā[not]MOD _ _ _ mā[saying]PRP šulmu[completeness]N adanniš[very-much]AV ṭēmu[(fore)thought]N ša[of]DET Urarṭaya[Urarṭian]EN _ _ _ marṣu[sick]AJ ša[of]DET _ _ _ _ _ _ ṣīru[envoy]N ša[of]DET Manna[Mannea]GN _ _ _ _ _ _ alpu[ox]N immeru[sheep]N _ _ _ _ _ _ Armaya[Aramean]EN _ _ _ _ _ _ _ _ mā[saying]PRP ina[in]PRP libbu[interior]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mā[saying]PRP _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mā[saying]PRP _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Yaʾudaya[Judean]EN _ _ _ _ _ _ _ ša[of]DET rabû[big-one]N nuhatimmu[cook]N _ _ gušūru[tree-trunk]N dannu[strong]AJ _ _ _ _ _ pīhātu[responsibility]N Raṣappa[1]GN _ _ _ _ pīhātu[responsibility]N Til-Barsip[1]GN _ _ _ _ šanû[second]NU _ _ _ _ _ ina[in]PRP libbu[interior]N Adia[1]GN _ _ _ _ _,SAA 01 032,Sennacherib,the king,"006 - Northwest Palace, Room ZT 4",P224433,Royal Court,SAA 1,721–705 BC,Sargon II,P224433,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224447,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Bel-duri[1]PN Ilu-mušezib[1]PN ēpû[baker]N ša[of]DET Bel-emuranni[1]PN šarru[king]N ina[in]PRP Hatarikka[1]GN ašābu[sit-(down)]V akī[as]PRP šarru[king]N etēqu[proceed]V Kubaba-ereš[1]PN ša[of]DET kalzu[precinct?]N ša[of]DET kalzu[precinct?]N nišu[people]N šūtu[he]IP halāqu[be(come)-lost]V šâlu[ask]V awīlu[man]N sahāru[go-around]V akī[as]PRP mūtānu[epidemic]N annaka[here]AV Ilu-biʾdi[1]PN rabû[big-one]N kiṣru[knot]N _ _ ša[of]DET qātu[hand]N ana[to]PRP sisû[horse]N dâku[kill]V sisû[horse]N ina[in]PRP kūm[instead-of]PRP anāku[I]IP šalāmu[be(come)-healthy]V mā[saying]PRP ṣarpu[silver]N tadānu[give]V Ilu-biʾdi[1]PN mītu[dead]AJ sinništu[woman]N šarru[king]N wadû[know]V māru[son]N qallu[light]AJ ahāzu[take]V ina[in]PRP nuhatimmu[cook]N awīlu[man]N išti[with]PRP dâlu[move]V akī[as]PRP šarru[king]N etēqu[proceed]V ša[of]DET kalzu[precinct?]N alāku[go]V awīlu[man]N halāqu[be(come)-lost]V Tuqunu[1]PN šumu[name]N ana[to]PRP Kimumaya[1]PN ana[to]PRP ša[of]DET kalzu[precinct?]N šarru[king]N bēlu[lord]N šâlu[ask]V šumma[if]MOD lā[not]MOD ardu[slave]N šūtu[he]IP Nabu-šezib[1]PN ṭupšarru[scribe]N ina[in]PRP pānu[front]N Aššur-ereš[1]PN šarru[king]N bēlu[lord]N wabālu[bring]V,SAA 01 171,Bel-duri,the king,"006 - Northwest Palace, Room ZT 4",P224447,Damascus,SAA 1,721–705 BC,Sargon II,P224447,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224485,awātu[word]N šarru[king]N ana[to]PRP Aššur-šarru-uṣur[1]PN šulmu[completeness]N yâšim[to-me]IP šulmu[completeness]N ana[to]PRP Mat-Aššur[Assyria]GN libbu[interior]N lū[may]MOD ṭābu[good]AJ ša[that]REL šapāru[send]V mā[saying]PRP māru[son]N šipru[sending]N ša[of]DET Mita[Midas]PN Muskaya[Phrygian]EN ina[in]PRP muhhu[skull]N alāku[go]V mā[saying]PRP _ ṣābu[people]N Quwaya[from-Quwe]EN ša[that]REL Urik[1]PN ana[to]PRP šapru[envoy]N ana[to]PRP Urarṭu[1]GN wabālu[bring]V mā[saying]PRP ina[in]PRP muhhu[skull]N našû[lifted]AJ tarṣu[correct]AJ adanniš[very-much]AV annûri[now]AV Aššur[1]DN Šamaš[1]DN Bel[1]DN Nabu[1]DN ilu[god]N epēšu[do]V lā[not]MOD ina[in]PRP libbu[interior]N qarābu[battle]N lā[not]MOD ina[in]PRP libbu[interior]N memēni[somebody]XP Muskaya[Phrygian]EN pû[mouth]N tadānu[give]V ana[to]PRP salmu[peaceful]AJ târu[turn]V ša[that]REL šapāru[send]V mā[saying]PRP balāt[without]PRP šarru[king]N bēlu[lord]N māru[son]N šipru[sending]N ina[in]PRP muhhu[skull]N Muskaya[Phrygian]EN lā[not]MOD šapāru[send]V ūma[today]AV annûri[now]AV šapāru[send]V māru[son]N šipru[sending]N ištu[from]PRP pānu[front]N Muskaya[Phrygian]EN lū[may]MOD lā[not]MOD batāqu[cut-off]V dibbu[words]N ṭābu[good]AJ šapāru[send]V kayyamānu[permanent]AJ mīnu[what?]QP ša[that]REL ṭēmu[(fore)thought]N šemû[hear]V adi[until]PRP bītu[house]N riāqu[be(come)-empty]V ša[that]REL šapāru[send]V mā[saying]PRP kī[like]PRP ša[that]REL šū[he]IP ardu[slave]N ša[of]DET šarru[king]N bēlu[lord]N wabālu[bring]V mā[saying]PRP anāku[I]IP ardu[slave]N wabālu[bring]V wabālu[bring]V basi[soon]AV libbu[interior]N išti[with]PRP pašāru[release]V lū[may]MOD _ meʾatu[(one)-hundred]NU ardu[slave]N lū[may]MOD _ kī[like]PRP annû[this]DP šapāru[send]V mā[saying]PRP ṣābu[people]N Quwaya[from-Quwe]EN ša[that]REL wabālu[bring]V mā[saying]PRP ina[in]PRP muhhu[skull]N šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP šarru[king]N bēlu[lord]N hadû[be(come)-joyful]V adanniš[very-much]AV mā[saying]PRP sahāru[go-around]V _ _ _ _ ina[in]PRP muhhu[skull]N šapāru[send]V mā[saying]PRP Muskaya[Phrygian]EN ammar[as-much-as]REL ina[in]PRP pānu[front]N ištēn[one]NU lā[not]MOD kalû[hold-(back)]V mā[saying]PRP arhiš[quickly]AV ana[to]PRP Mita[Midas]PN wabālu[bring]V mā[saying]PRP ṣābu[people]N annû[this]DP ina[in]PRP muhhu[skull]N pû[mouth]N ša[of]DET šarru[king]N bēlu[lord]N wabālu[bring]V ša[that]REL šapāru[send]V mā[saying]PRP māru[son]N šipru[sending]N ša[of]DET Urpalaʾa[1]PN išti[with]PRP māru[son]N šipru[sending]N Muskaya[Phrygian]EN ana[to]PRP šulmu[completeness]N ina[in]PRP muhhu[skull]N alāku[go]V alāku[go]V Aššur[1]DN Šamaš[1]DN Bel[1]DN u[and]CNJ Nabu[1]DN qabû[say]V šarru[king]N annû[this]DP gabbu[totality]N išti[with]PRP ziqnu[beard]N mešēnu[sandal]N šakkulu[wipe]V ša[that]REL šapāru[send]V mā[saying]PRP Kilar[1]PN _ nagû[region]N erēšu[request]V mā[saying]PRP tadānu[give]V kīma[like]PRP _ nagû[region]N annû[this]DP ana[to]PRP Kilar[1]PN tadānu[give]V lā[not]MOD ana[to]PRP mehru[colleague]N târu[turn]V atta[you]IP ina[in]PRP muhhu[skull]N mīnu[what?]QP pīhātūtu[provincial-governorship]N epēšu[do]V kī[like]PRP annû[this]DP qabû[say]V mā[saying]PRP ina[in]PRP timāli[yesterday]AV šalšūmi[the-day-before-yesterday]AV ištu[from]PRP pānu[front]N Muskaya[Phrygian]EN palhu[fearful]AJ mā[saying]PRP ūma[today]AV Muskaya[Phrygian]EN išti[with]PRP salāmu[be(come)-at-peace]V mā[saying]PRP atta[you]IP ištu[from]PRP pānu[front]N mīnu[what?]QP palhu[fearful]AJ mā[saying]PRP ūma[today]AV ṣillu[shade]N šarru[king]N bēlu[lord]N kusāpu[bread]N akālu[eat]V mû[water]N šatû[drink]V mā[saying]PRP libbu[interior]N lū[may]MOD ṭābu[good]AJ mā[saying]PRP niqittu[anxiety]N ištu[from]PRP pānu[front]N Muskaya[Phrygian]EN lū[may]MOD laššu[(there)-is-not]V ša[that]REL šapāru[send]V mā[saying]PRP Urpalaʾa[1]PN ina[in]PRP muhhu[skull]N ša[that]REL Atunnaya[1]EN Istuandaya[1]EN alāku[go]V ālu[city]N ša[of]DET Bit-Purutaš[1]GN puāgu[take-away-forcibly-from]V _ _ _ _ ištu[from]PRP muhhu[skull]N šarru[king]N bēlu[lord]N _ _ _ _ _ annûri[now]AV Muskaya[Phrygian]EN išti[with]PRP salāmu[be(come)-at-peace]V kaʾādu[(meaning-unknown)]V šarru[king]N ša[of]DET Tabalu[Tabal]GN gabbu[totality]N mīnu[what?]QP hurri[ever-(after)]AV epēšu[do]V atta[you]IP ištu[from]PRP annaka[here]AV Muskaya[Phrygian]EN ištu[from]PRP ammaka[there]AV mazāʾu[press]V basi[soon]AV atta[you]IP ebīhu[(a-rope-or-girdle)]N ina[in]PRP libbu[interior]N rakāsu[bind]V annûri[now]AV Aššur[1]DN Šamaš[1]DN Bel[1]DN u[and]CNJ Nabu[1]DN ilu[god]N epēšu[do]V mātu[land]N annû[this]DP ina[in]PRP šaplu[underside]N šēpu[foot]N kabāsu[tread]V kī[like]PRP libbu[interior]N dâlu[move]V mīnu[what?]QP ša[that]REL dullu[trouble]N epēšu[do]V arku[long]AJ batāqu[cut-off]V kurû[short]AJ arāku[be(come)-long]V adi[until]PRP bītu[house]N anāku[I]IP alāku[go]V dullu[trouble]N _ _ _ _ tadānu[give]V ina[in]PRP muhhu[skull]N Balassu[1]PN ša[that]REL šapāru[send]V dibbu[words]N gabbu[totality]N šemû[hear]V ūmu[day]N ša[that]REL egertu[inscribed-tablet]N annû[this]DP amāru[see]V māru[son]N kūm[instead-of]PRP ina[in]PRP muhhu[skull]N ṣābu[people]N paqādu[entrust]V nišu[people]N lū[may]MOD kunnušu[assembled]AJ lū[may]MOD kamsu[squatting]AJ šumma[if]MOD libbu[interior]N šadû[mountain]N nabalkutu[cross-over]V ašābu[sit-(down)]V ūla[or]AV annaka[here]AV lū[may]MOD kamsu[squatting]AJ ana[to]PRP šâšu[him]IP tašlīšu[third-man-on-chariot]N ištēn[one]NU ana[to]PRP kallû[express-messenger]N matāhu[lift]V alāku[go]V dibbu[words]N ṭābu[good]AJ išti[with]PRP dabābu[speak]V libbu[interior]N šakānu[put]V basi[soon]AV šapāru[send]V nišu[people]N ša[that]REL annaka[here]AV sahāru[go-around]V alāku[go]V ina[in]PRP bītu[house]N erēbu[enter]V Aplaya[1]PN šūtu[he]IP adi[until]PRP nišu[people]N māru[son]N šipru[sending]N adi[until]PRP muhhu[skull]N wabālu[bring]V lū[may]MOD māru[son]N Babili[Babylon]GN lū[may]MOD māru[son]N Barsip[Borsippa]GN lū[may]MOD Kišaya[from-Kiš]EN lū[may]MOD Nippuraya[Nippurean]EN lū[may]MOD Urukaya[Urukean]EN lū[may]MOD Deraya[from-Der]EN lū[may]MOD,SAA 01 001,the king,Aššur-šarru-uṣur,"006 - Northwest Palace, Room ZT 4",P224485,Royal Court,SAA 1,721–705 BC,Sargon II,P224485,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224487,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Marduk-remanni[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N isinnu[festival]N epšu[made]AJ _ ina[in]PRP šulmu[completeness]N aṣû[go-out]V _ erēbu[enter]V Nabu[1]DN u[and]CNJ Marduk[1]DN ana[to]PRP šarru[king]N karābu[pray]V ina[in]PRP muhhu[skull]N aladlammû[human-headed-bull-colossus]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V esēhu[assign]V ina[in]PRP muhhu[skull]N bābu[gate]N ša[of]DET ēkallu[palace]N karāru[put-(down)]V batāqu[cut-off]V aladlammû[human-headed-bull-colossus]N batqu[cut-(off)]AJ ina[in]PRP pānu[front]N bītu[house]N _ _ šakānu[put]V dannu[strong-one]N batāqu[cut-off]V ina[in]PRP pānu[front]N bābu[gate]N qabaltīu[central]AJ šakānu[put]V ina[in]PRP muhhu[skull]N rīmu[wild-bull]N ša[that]REL ana[to]PRP šarru[king]N bēlu[lord]N qabû[say]V puhhu[exchange]V ana[to]PRP aladlammû[human-headed-bull-colossus]N târu[turn]V ina[in]PRP pānu[front]N bābu[gate]N qabaltīu[central]AJ šakānu[put]V issurri[perhaps]AV šarru[king]N bēlu[lord]N qabû[say]V mā[saying]PRP dullu[trouble]N dannu[strong]AJ _ _ _ _ dullu[trouble]N _ _ _ _ _ _ kittu[truth]N _ ammatu[unit]N rūṭu[unit]N _ _ aladlammû[human-headed-bull-colossus]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ līṭu[sketch]N ša[of]DET _ _ _ _ ša[that]REL ana[to]PRP šarru[king]N bēlu[lord]N qabû[say]V eṣēru[draw]V wabālu[bring]V ziqpu[shoot]N ina[in]PRP pitti[just-as]AV _ _ _ _ _ sisû[horse]N ša[of]DET ēkallu[palace]N mahāru[face]V ṣīru[envoy]N Muṣuraya[Egyptian]EN Hazzataya[from-Gaza]EN Yaʾudaya[Judean]EN Maʾabaya[Moabite]EN Ban-Ammanaya[Ammonite]EN ūmu[day]N _ ina[in]PRP Kalhu[1]GN erēbu[enter]V maddattu[payment]N ina[in]PRP qātu[hand]N _ sisû[horse]N ša[of]DET Hazzataya[from-Gaza]EN ina[in]PRP qātu[hand]N Udumaya[Edomite]EN Asdudaya[Ashdodite]EN Amqarrunaya[Ekronite]EN _ _ _ _ _ _ _ ṣīru[envoy]N Quwaya[from-Quwe]EN _ _ _ _ _ aṣû[go-out]V ana[to]PRP Zabban[1]GN alāku[go]V _ _ ša[of]DET tartānu[second-in-command]N išti[with]PRP,SAA 01 110,Marduk-remanni,the king,"006 - Northwest Palace, Room ZT 4",P224487,Nimrud,SAA 1,721–705 BC,Sargon II,P224487,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P224587,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Aššur-bani[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ina[in]PRP muhhu[skull]N bītu[house]N tūʾamtu[twin]N ša[of]DET kisallu[courtyard]N bītu[house]N ramāku[bathing]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP karintu[(meaning-unknown)]N šī[she]IP _ _ _ _ karintu[(meaning-unknown)]N raṣpu[built]AJ gammuru[finished]AJ karintu[(meaning-unknown)]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 121,Aššur-bani,the king,"006 - Northwest Palace, Room ZT 4",P224587,Nimrud,SAA 1,721–705 BC,Sargon II,P224587,Administrative Letter,Nimrud (Kalhu),"[43.3275,36.099167]",894019
P313416,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Sin-ašared[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N _ tupninnu[box]N dannu[strong]AJ hurāṣu[gold]N _ lēʾu[board]N hurāṣu[gold]N _ ṣipru[point]N ṣarpu[silver]N _ _ _ tupninnu[box]N hušû[(metal)-scraps]N hurāṣu[gold]N _ kāsu[cup]N hurāṣu[gold]N _ bītu[house]N gaṣṣatu[firewood]N abnu[stone]N hurāṣu[gold]N _ huppu[(a-kind-of-basket)]N hurāṣu[gold]N ahāzu[take]V _ narmaktu[washbasin]N siparru[bronze]N udû[tools]N ṣarpu[silver]N _ _ _ tupninnu[box]N _ meʾatu[(one)-hundred]NU _ kappu[hand]N ṣarpu[silver]N ina[in]PRP libbu[interior]N _ tupninnu[box]N _ kappu[hand]N ṣarpu[silver]N _ _ _ _ ṣarpu[silver]N _ qaqqadu[head]N nēšu[lion]N ṣarpu[silver]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ hurāṣu[gold]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ hurāṣu[gold]N _ _ _ _ _ _ _ _ _ _ _ _ ana[to]PRP šarru[king]N bēlu[lord]N wabālu[bring]V,SAA 01 158,Sin-ašared,the king,099 - Miscellaneous,P313416,Assyria,SAA 1,721–705 BC,Sargon II,P313416,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
